filename,tag
rock_climbing_mountain_steep_slope_climber_rope_adventure_outdoor.png,mtn
rocky_cliff_ocean_waves_greenery_sky_clouds_coastline_viewpoint.png,nusa
sunset_over_mountain_silhouette_with_darkened_sky_and_clouds.png,mtn
sunset_over_mountain_silhouette_with_people_and_clouds.png,mtn
sunset_over_ocean_with_cliff_and_cloudy_sky_reflection.png,nusa
three_hikers_mount_agung_volcano_crater_trail_signature_thumbsup.png,mtn
three_hikers_on_volcanic_mountain_itagunq_3142_meters.png,mtn
three_people_smiling_on_rough_rocky_cliff_near_ocean.png,nusa
three_women_in_hats_standing_clifftop_ocean_view_nature.png,nusa
three_women_tourists_cliffside_ocean_view_natural_arch_formation.png,nusa
tourists_visiting_cliff_seaside_view_tropical_landscape_blue_sky.png,nusa
tourists_visiting_rocky_coast_with_waterfall_ocean_view.png,nusa
traditional_bali_wooden_sculptures_mythical_figures_artwork.png,other
tropical_rice_fields_with_palm_trees_and_pond_under_blue_sky.png,ubud
tropical_waterfall_flowing_rocks_dense_green_foliage.png,other
two_friends_hiking_mountain_peaks_sunset_outdoor_adventure.png,mtn
two_men_hiking_mountain_summit_gunung_agung_sign_cloudy_sky.png,mtn
two_men_posing_ocean_cliff_natural_rock_arch_formation.png,nusa
two_men_riding_red_atv_through_muddy_water_splashing.png,atv
two_men_riding_red_atv_through_water_puddle_offroad_adventure.png,atv
two_people_riding_atv_under_waterfall_yellow_helmets_adventure.png,atv
two_people_riding_orange_atv_under_waterfall_forest_rocks.png,atv
two_people_riding_red_atv_through_muddy_waterforest.png,atv
two_people_riding_red_quad_bikes_in_muddy_forest.png,atv
two_women_riding_swing_laughter_tropical_forest_background.png,ubud
two_women_sitting_in_large_circular_tree_nest_happy_outdoor.png,ubud
volcanic_mountain_with_thick_clouds_above_forest_landscape.png,other
volcano_mountains_black_lava_field_green_vegetation_cloudy_sky.png,other
whitewater_rafting_group_adventure_rapids_yellow_helmets_rafting_raft.png,rafting
woman_and_child_riding_black_quad_bike_green_fields_background.png,atv
woman_in_pink_shirt_on_beach_with_two_people_in_ocean.png,nusa
woman_in_pink_shirt_white_hat_yellow_bag_ocean_view_cliff.png,nusa
woman_in_pink_shirt_with_yellow_handbag_near_ocean_waves.png,nusa
woman_in_sunhat_sunglasses_sitting_cliff_ocean_natural_rock_arch.png,nusa
woman_on_wooden_swing_tropical_forest_mountain_man_assisting.png,ubud
woman_sitting_on_rock_cliff_near_ocean_peace_sign.png,nusa
yogilouis.png,other
young_couple_enjoying_atv_ride_through_forest_muddy_trail.png,atv
young_couple_riding_red_atv_on_country_road_green_fields.png,atv
young_woman_preparing_for_jungle_swing_ride_safe_harness_tropical_forest.png,ubud
